1;Accipiter gentilis arrigonii (Kleinschmidt, 1903);2894;Accipitriformes;Accipitridae;01/12/1869;21/09/1994
2;Accipiter gentilis (Linnaeus, 1758);2891;Accipitriformes;Accipitridae;20/10/1902;31/12/1912
3;Accipiter nisus (Linnaeus, 1758);2895;Accipitriformes;Accipitridae;15/10/1837;20/02/2002
4;Acrocephalus agricola (Jerdon, 1845);199459;Passeriformes;Sylviidae;01/11/2002;01/11/2002
5;Acrocephalus arundinaceus (Linnaeus, 1758);4198;Passeriformes;Sylviidae;13/06/1873;01/08/1931
6;Acrocephalus melanopogon (Temminck, 1823);4180;Passeriformes;Sylviidae;13/12/1884;20/09/1931
7;Acrocephalus paludicola (Vieillot, 1817);4184;Passeriformes;Sylviidae;20/06/1870;21/09/1952
8;Acrocephalus palustris (Bechstein, 1798);4192;Passeriformes;Sylviidae;28/05/1928;19/07/1964
9;Acrocephalus schoenobaenus (Linnaeus, 1758);4187;Passeriformes;Sylviidae;01/05/1900;13/05/1988
10;Acrocephalus scirpaceus (Hermann, 1804);4195;Passeriformes;Sylviidae;24/09/1879;07/06/2005
11;Actitis hypoleucos (Linnaeus, 1758);2616;Charadriiformes;Scolopacidae;21/05/1873;31/12/1991
12;Aegithalos caudatus (Linnaeus, 1758);4342;Passeriformes;Aegithalidae;11/10/1879;27/05/2005
13;Aegolius funereus (Linnaeus, 1758);3533;Strigiformes;Strigidae;01/01/1850;21/08/1969
14;Aegypius monachus (Linnaeus, 1766);2869;Accipitriformes;Accipitridae;05/06/1884;05/06/1884
15;Aix galericulata (Linnaeus, 1758);2776;Anseriformes;Anatidae;26/11/1947;14/11/1957
16;Alauda arvensis Linnaeus, 1758;3676;Passeriformes;Alaudidae;08/01/1868;09/11/1998
17;Alca torda Linnaeus, 1758;3388;Charadriiformes;Alcidae;04/04/1870;30/10/1984
18;Alcedo atthis (Linnaeus, 1758);3571;Coraciiformes;Alcedinidae;13/10/1908;31/12/2005
19;Alectoris graeca (Meisner, 1804);2971;Galliformes;Phasianidae;25/11/1904;19/03/1963
20;Alectoris rufa (Linnaeus, 1758);2975;Galliformes;Phasianidae;01/10/1878;29/01/1947
21;Alle alle (Linnaeus, 1758);3396;Charadriiformes;Alcidae;07/12/1920;06/11/1995
22;Anas acuta Linnaeus, 1758;1973;Anseriformes;Anatidae;14/04/1873;28/11/1981
23;Anas crecca crecca Linnaeus, 1758;1960;Anseriformes;Anatidae;25/12/1935;20/03/1955
24;Anas platyrhynchos Linnaeus, 1758;1966;Anseriformes;Anatidae;06/10/1926;31/12/1970
25;Anas rubripes Brewster, 1902;1968;Anseriformes;Anatidae;30/11/1972;30/11/1972
26;Anser albifrons (Scopoli, 1769);2734;Anseriformes;Anatidae;18/12/1920;23/01/1947
27;Anser anser anser (Linnaeus, 1758);2744;Anseriformes;Anatidae;17/02/1985;17/02/1985
28;Anthus campestris (Linnaeus, 1758);3713;Passeriformes;Motacillidae;29/04/1868;08/09/1963
29;Anthus petrosus littoralis Brehm, 1823;3719;Passeriformes;Motacillidae;04/10/1913;27/09/1992
30;Anthus petrosus petrosus (Montagu, 1798);3721;Passeriformes;Motacillidae;13/11/1872;24/05/1947
31;Anthus petrosus (Montagu, 1798);3716;Passeriformes;Motacillidae;08/11/1868;01/09/1967
32;Anthus pratensis (Linnaeus, 1758);3726;Passeriformes;Motacillidae;05/05/1879;21/02/2007
33;Anthus richardi Vieillot, 1818;3709;Passeriformes;Motacillidae;30/04/1869;30/04/1869
34;Anthus spinoletta (Linnaeus, 1758);3733;Passeriformes;Motacillidae;10/02/1881;30/11/1988
35;Anthus trivialis (Linnaeus, 1758);3723;Passeriformes;Motacillidae;25/07/1875;18/08/1970
36;Apus apus (Linnaeus, 1758);3551;Caprimulgiformes;Apodidae;23/05/1885;08/02/2002
37;Apus pallidus (Shelley, 1870);3555;Caprimulgiformes;Apodidae;13/06/1951;05/08/1951
38;Aquila chrysaetos (Linnaeus, 1758);2645;Accipitriformes;Accipitridae;25/01/1880;30/11/1979
39;Aquila fasciata Vieillot, 1822;2657;Accipitriformes;Accipitridae;04/10/1881;29/12/1999
40;Ardea cinerea Linnaeus, 1758;2506;Pelecaniformes;Ardeidae;07/03/1868;22/01/1987
41;Ardea purpurea Linnaeus, 1766;2508;Pelecaniformes;Ardeidae;01/08/1871;27/07/1938
42;Ardenna gravis (O'Reilly, 1818);790987;Procellariiformes;Procellariidae;07/11/1937;03/11/1981
43;Ardeola ralloides (Scopoli, 1769);2486;Pelecaniformes;Ardeidae;05/05/1882;28/04/1887
44;Arenaria interpres (Linnaeus, 1758);3239;Charadriiformes;Scolopacidae;01/05/1867;28/08/1951
45;Asio flammeus (Pontoppidan, 1763);3525;Strigiformes;Strigidae;27/11/1868;30/09/1969
46;Asio otus (Linnaeus, 1758);3522;Strigiformes;Strigidae;10/11/1872;18/10/1991
47;Athene noctua (Scopoli, 1769);3511;Strigiformes;Strigidae;23/04/1875;06/10/1994
48;Aythya ferina (Linnaeus, 1758);1991;Anseriformes;Anatidae;20/05/1908;31/03/1969
49;Aythya nyroca (Guldenstädt, 1770);1995;Anseriformes;Anatidae;16/09/1935;19/04/1942
50;Bombycilla garrulus (Linnaeus, 1758);3953;Passeriformes;Bombycillidae;15/01/1867;28/03/2005
51;Bonasa bonasia (Linnaeus, 1758);199294;Galliformes;Phasianidae;10/01/1868;06/03/1998
52;Botaurus stellaris (Linnaeus, 1758);2473;Pelecaniformes;Ardeidae;13/12/1875;15/03/2006
53;Branta bernicla bernicla (Linnaeus, 1758);2760;Anseriformes;Anatidae;11/01/1929;31/12/1970
54;Branta bernicla (Linnaeus, 1758);2757;Anseriformes;Anatidae;28/03/1924;28/03/1924
55;Bubo bubo (Linnaeus, 1758);3493;Strigiformes;Strigidae;08/11/1867;05/11/1981
56;Bubo scandiaca (Linnaeus, 1758);199395;Strigiformes;Strigidae;18/03/1876;18/03/1876
57;Bucephala clangula (Linnaeus, 1758);2808;Anseriformes;Anatidae;13/02/1929;02/01/1963
58;Burhinus oedicnemus (Linnaeus, 1758);3120;Charadriiformes;Burhinidae;01/01/1864;12/02/1956
59;Buteo buteo (Linnaeus, 1758);2623;Accipitriformes;Accipitridae;20/11/1868;29/03/1999
60;Buteo lagopus (Pontoppidan, 1763);2630;Accipitriformes;Accipitridae;22/12/1875;17/12/1885
61;Calandrella brachydactyla (Leisler, 1814);3649;Passeriformes;Alaudidae;10/05/1880;12/05/1949
62;Calandrella rufescens (Vieillot, 1820);199485;Passeriformes;Alaudidae;01/01/1906;31/12/1906
63;Calcarius lapponicus (Linnaeus, 1758);4644;Passeriformes;Calcariidae;11/09/1963;14/09/1989
64;Calidris alba (Pallas, 1764);3195;Charadriiformes;Scolopacidae;30/04/1869;23/09/1982
65;Calidris alpina alpina (Linnaeus, 1758);2916;Charadriiformes;Scolopacidae;12/09/1869;23/09/1979
66;Calidris alpina schinzii (Brehm, 1822);2918;Charadriiformes;Scolopacidae;21/04/1870;01/12/1957
67;Calidris alpina (Linnaeus, 1758);2911;Charadriiformes;Scolopacidae;01/10/1909;27/08/2003
68;Calidris canutus (Linnaeus, 1758);3192;Charadriiformes;Scolopacidae;10/05/1869;25/05/1968
69;Calidris falcinellus (Pontoppidan, 1763);828816;Charadriiformes;Scolopacidae;17/08/1877;17/05/1887
70;Calidris ferruginea (Pontoppidan, 1763);2901;Charadriiformes;Scolopacidae;05/11/1869;09/08/1948
71;Calidris maritima (Brunnich, 1764);2906;Charadriiformes;Scolopacidae;27/11/1869;17/11/1933
72;Calidris melanotos (Vieillot, 1819);3226;Charadriiformes;Scolopacidae;17/09/1935;17/09/1935
73;Calidris minuta (Leisler, 1812);3206;Charadriiformes;Scolopacidae;20/05/1874;19/08/1969
74;Calidris minutilla (Vieillot, 1819);3214;Charadriiformes;Scolopacidae;10/02/1982;10/02/1982
75;Calidris pugnax (Linnaeus, 1758);814245;Charadriiformes;Scolopacidae;10/05/1868;28/09/1975
76;Calidris pusilla (Linnaeus, 1758);3199;Charadriiformes;Scolopacidae;15/09/1930;15/09/1930
77;Calidris subruficollis (Vieillot, 1819);2929;Charadriiformes;Scolopacidae;16/09/1966;16/09/1966
78;Calidris temminckii (Leisler, 1812);3210;Charadriiformes;Scolopacidae;20/08/1876;19/05/1947
79;Calonectris diomedea (Scopoli, 1769);1009;Procellariiformes;Procellariidae;24/05/1878;29/08/1949
